text,Label_Final
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',Hate Speech / Ancaman
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',Makian
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",Non-Bullying
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',Non-Bullying
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',Agama
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',Hate Speech / Ancaman
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,Non-Bullying
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,Makian
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",Non-Bullying
USER Enak lg klo smbil ngewe',Makian
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",Hate Speech / Ancaman
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,Gender
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,Non-Bullying
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,Hate Speech / Ancaman
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',Pelecehan Seksual
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",Agama
Belakangan ini kok fikiran ampas banget ya',Non-Bullying
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',Makian
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',Gender
USER Slga mnr bom \xf0\x9f\x98\x82',Non-Bullying
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",Makian
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',Non-Bullying
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",Non-Bullying
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,Non-Bullying
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,Non-Bullying
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",Non-Bullying
Ini si USER kerjaannya delay mulu! Setan!',Hate Speech / Ancaman
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,Non-Bullying
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,Ras
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',Hate Speech / Ancaman
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",Agama
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',Non-Bullying
USER Gak kak emak mah gak demen ama yang sipit wkwk',Non-Bullying
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",Makian
